created_at,Tweets (#),Active Influencers (#),Average SA
2018-02-12 00:00:00,380,49,0.07045562596516541
2018-02-13 00:00:00,392,46,0.09492189110492681
2018-02-14 00:00:00,512,56,0.10057084810624846
2018-02-15 00:00:00,506,50,0.12161398516759198
2018-02-16 00:00:00,378,51,0.10308038057376678
2018-02-17 00:00:00,303,50,0.10369543482125995
2018-02-18 00:00:00,292,46,0.10357647014325093
2018-02-19 00:00:00,321,50,0.1028774636290213
2018-02-20 00:00:00,265,47,0.13080344890958104
2018-02-21 00:00:00,382,47,0.11037221189708103
2018-02-22 00:00:00,369,50,0.12964997764455757
2018-02-23 00:00:00,387,46,0.10978136927910832
2018-02-24 00:00:00,287,47,0.07967710328773048
2018-02-25 00:00:00,296,36,0.07278489122239118
2018-02-26 00:00:00,354,55,0.11526715313615024
2018-02-27 00:00:00,358,55,0.11606018570194555
2018-02-28 00:00:00,428,56,0.09336182346988424
2018-03-01 00:00:00,365,51,0.07719100496155293
2018-03-02 00:00:00,381,49,0.11757027593772995
2018-03-03 00:00:00,246,47,0.10317619428899912
2018-03-04 00:00:00,340,48,0.09568435828877002
2018-03-05 00:00:00,305,48,0.10777395737231799
2018-03-06 00:00:00,368,49,0.10298207145863397
2018-03-07 00:00:00,420,58,0.11259001294120335
2018-03-08 00:00:00,322,47,0.11858989181970551
2018-03-09 00:00:00,333,56,0.1171693428637873
2018-03-10 00:00:00,199,44,0.12929349126585307
2018-03-11 00:00:00,187,34,0.0759235164221795
2018-03-12 00:00:00,251,52,0.12603736568876014
2018-03-13 00:00:00,326,55,0.13994769673067214
2018-03-14 00:00:00,524,57,0.1078721138823716
2018-03-15 00:00:00,477,54,0.13478399347372103
2018-03-16 00:00:00,478,55,0.08802165344921617
2018-03-17 00:00:00,345,49,0.09644354779680868
2018-03-18 00:00:00,470,44,0.07805546856610689
2018-03-19 00:00:00,386,45,0.10791588161406816
2018-03-20 00:00:00,458,57,0.1011083240914026
2018-03-21 00:00:00,487,56,0.11734725518606419
2018-03-22 00:00:00,694,58,0.09325444752173861
2018-03-23 00:00:00,387,46,0.10267208506872588
2018-03-24 00:00:00,405,47,0.0929902538019821
2018-03-25 00:00:00,349,46,0.07020014409341055
2018-03-26 00:00:00,467,48,0.0978762946843782
2018-03-27 00:00:00,491,53,0.08498639153145263
2018-03-28 00:00:00,552,52,0.12083017081884834
2018-03-29 00:00:00,495,58,0.09951701782131069
2018-03-30 00:00:00,426,47,0.07759185937736408
2018-03-31 00:00:00,354,41,0.09060062955719737
2018-04-01 00:00:00,370,45,0.14799038551538551
2018-04-02 00:00:00,408,53,0.10713556697931699
2018-04-03 00:00:00,610,51,0.08917520787500301
2018-04-04 00:00:00,519,60,0.09112851151025524
2018-04-05 00:00:00,539,53,0.10281403137850265
2018-04-06 00:00:00,362,53,0.12903974631875176
2018-04-07 00:00:00,341,45,0.0677594845959949
2018-04-08 00:00:00,327,44,0.0919668661274166
2018-04-09 00:00:00,435,55,0.1275263734775229
2018-04-10 00:00:00,499,62,0.11188900130708754
2018-04-11 00:00:00,429,57,0.12362921749751586
2018-04-12 00:00:00,540,56,0.10770541949477132
2018-04-13 00:00:00,454,56,0.10645668850239333
2018-04-14 00:00:00,328,53,0.1471008676706085
2018-04-15 00:00:00,360,47,0.11612491649297198
2018-04-16 00:00:00,688,58,0.22641803556047746
2018-04-17 00:00:00,581,56,0.10389228162033677
2018-04-18 00:00:00,470,56,0.0995677111993601
2018-04-19 00:00:00,443,64,0.12146083033619313
2018-04-20 00:00:00,401,54,0.11929392667921343
2018-04-21 00:00:00,362,50,0.09879056033234215
2018-04-22 00:00:00,338,45,0.10016079184348423
2018-04-23 00:00:00,624,58,0.24812367464711207
2018-04-24 00:00:00,625,61,0.15082575220335215
2018-04-25 00:00:00,538,59,0.08863643069033406
2018-04-26 00:00:00,615,64,0.11477741738087263
2018-04-27 00:00:00,662,66,0.11115138218612533
2018-04-28 00:00:00,368,50,0.08876584654777588
2018-04-29 00:00:00,346,53,0.10960582027959188
2018-04-30 00:00:00,507,59,0.09882183521606598
2018-05-01 00:00:00,700,65,0.09974619958084247
